rating,review_text,review_len,churn_risk
5,this is a my favorite aap revold,32,0
5,great banking,13,0
4,"why did you rename ""transfer"" to ""move""? this is so confusing! change it back, please.",86,0
5,great app love it,17,0
5,is just perfect super easy 👌,28,0
5,"so far the app is working good i have had it for a few days. i will leave a more detailed report later, the only issue so far is the user interface is a bit confusing.",167,0
1,werkt heel slecht,17,1
5,🫱🏽‍🫲🏾👍🏽 i really enjoy using revolut,36,0
1,no longer able to deposit cash at shops.,40,1
1,"dubious way of extorting money from customer without clear terms and conditions. to make it worse, no open communication channels to resolve issues.",148,1
5,easy to use ones you know the app,33,0
5,easy money transfering between friends and family,49,0
5,good,4,0
5,the best decision i ever made was having an account with revolut,64,0
5,really good,11,0
2,"moving currency exchange to ""move"" is the worst thing that could happen. it is extremely likely, people will move money to pockets instead of exchanging usable money. especially, that the default destination is a pocket...",222,1
5,it is really serious company.,29,0
1,i used to be metal user and liked everything what cane with it. one day i've decided to try ultra. i didn't get the value for the money that i wanted. so i tried to downgrade back to metal. fee was 60eur - so in the end i downgrated to basic and uninstalled this app. revolut what happened to you? you used to be the best on the market.,336,1
5,instant transfers and easy to use. love how simple it is.,57,0
4,very easy to use 👌,18,0
5,excellent,9,0
5,best banking application i have ever used.,42,0
1,"im stuck in a extremely annoying loop. i'm a student, so i don't have a tax number. but every time i open the app it asks me for one. so i tried doing anything over the website, but im unable to login because to do so i need to accept via the app, which only wants my tax number and is unable to do anything else. then i started to get emails to finish my account. which was impossible. then i tried to unsubscribe from them but... i can't access my account so now they are landing in my spam folder.",500,1
4,great app,9,0
5,as a women of 66yrs it was so easy to set it up on my own without asking my kids to do it for me,96,0
4,very helpfull,13,0
5,easy to use.,12,0
5,it's smart,10,0
5,its brilliant,13,0
5,"very user friendly, easy to manage budget and family finances.",62,0
5,handy,5,0
5,"rugalmas, ingyen váltok, olcsóbb mint az általam ismert bankok",62,0
5,"extremely efficient, and customer support are very responsive",61,0
5,revolut is incredibly 😍 i really love it,40,0
5,very good,9,0
1,useless,7,1
5,amazing!!!!!,12,0
5,"love it, easy and fast transfer with no safety problems so far!",63,0
5,"чудовий додаток, зручний, та швидкий.",37,0
5,"i love revolut, makes my life simpler in these ever difficult times, thank you",78,0
5,i like it. its working good.,28,0
4,removal of the news tab under cryptocurrencies is an awful decision. edit: aaand its back!,90,0
5,amazing,7,0
4,good app,8,0
5,good job,8,0
5,"been using it for a few years, i highly recommend for others to try it.",71,0
1,buggy mess,10,1
4,good one.,9,0
4,"perfect for foreign trips, only downside high exchange rates from domestic to euro",82,0
3,"so far so good, a lot of different things you can do in this app",64,0
5,amazing fast secure,19,0
5,bast bank ever i used,21,0
5,brilliant banking app with superb functionality.,48,0
5,i like it 👌,11,0
5,works well for me in nz and her in ireland.,43,0
5,revolut is a modern and useful banking app. it helps manage money easily and safely. the app is simple and convenient to use.,125,0
5,very convenient,15,0
1,i'm so disappointed. all the services i've tried are 'coming soon' and a month later nothing has changed. why release a product is not even half finished?,154,1
5,"it works okay, but if you need customer service help be prepared for bots.",74,0
5,my favourite app. essential to me now.,38,0
1,"what's the point on having revolut if when i try to buy something online i get this...""looks like something went wrong. for your protection, this transaction has been declined. please try another card or other payment methods."" so basically i can't use my money from this account because revolut declines all my transactions....",328,1
5,loved it,8,0
5,thank you,9,0
5,best bank!,10,0
5,good,4,0
4,is very good exchange rates.,28,0
1,"app won't open after the latest update. uninstalled and downloaded again but still doesn't work. can't access my funds now, awesome!",132,1
4,"update: the support service was not able to do much, but once filling a complaint revolut was very quick to react and fix my situation. i still have some issues with international transfer but the account is working locally. revolut had been pleasant for years in the eu, but i moved to japan and switching to this version has been disastrous. the onboarding is broken and misleading.",384,0
5,brilliant,9,0
5,great system and easy to use,28,0
1,"drop forced lock screen requirement. won't use it because of this. no other banking ""requires"" a lock screen for ""high security""",128,1
5,good,4,0
5,everything you need and more. thank you,39,0
5,great app.,10,0
5,always working well,19,0
4,"limited use but looks good. however, will not use it for crypto as it's too expensive to buy through revolut",108,0
5,"great bank, everything's easy",29,0
1,i would never tell anyone to open an account with this bank,59,1
1,"revolut is not a bank. their support and complaint response are handled by level 1 technicians that do not have the minimum training or understanding of banking operations. revolut will route transactions through third parties, without admitting, and wash their hands in case of failure. their defense being that the money was sent hence not their problem. ignore their response to this post. the conplaint form goes to the same team so you just lose time for the same response. take legal action.",497,1
1,i got revolut metal. with it i got perplexity pro. everything worked fine for the first few months but at some point i no longer had perplexity pro. tried to redeem the code again through revolut metal but got a message that the code has been already redeemed.,260,1
5,"i love this app because of its reliability, conversation rate and speed.",72,0
5,very smooth algorithm no work necessary,39,0
5,perfect for my needs,20,0
5,i use revolut constantly now and i honestly couldn't live without it. the app is incredibly intuitive and has made managing my finances so much easier. i use it for everything—from daily spending to instant transfers. i've never had a single issue; it’s a game-changer for anyone wanting to ditch traditional banks. highly recommended!,335,0
5,"i love this app i've never had any issues, i use it home and away. well done revolut 👍",86,0
5,excellent app,13,0
5,great,5,0
5,faultless. puts our banks to shame.,35,0
5,funciona muito bem.,19,0
5,"looks like america express ,i love it,so classic",48,0
5,well so far it has helped me so much,36,0
5,i love how easy it is to control your spending.,47,0
5,easy to use,11,0
5,like it,7,0
5,easy way to transfer money specifically from one country to another,67,0
5,excellent apps,14,0
5,so far so good,14,0
5,i love it really,16,0
5,my favourite money app,22,0
5,very good,9,0
5,works every time in many countries.,35,0
5,good,4,0
5,love the app so handy for sending friends money instantly..,59,0
5,"we've been using revolut when travelling, and also to pay for services in other countries (while being in the uk). can't fault it. brilliant! good customer support as well (when i had a problem a while ago).",207,0
5,easy to use,11,0
